time,vehicle_id,x,y,speed
0.0,flow0.0,-2787.49,3911.61,0.0
1.0,flow0.0,-2786.94,3911.61,0.55
5.0,flow0.1,-2787.49,3911.61,0.0
6.0,flow0.1,-2786.86,3911.61,0.63
10.0,flow0.2,-2787.49,3911.61,0.0
11.0,flow0.2,-2786.93,3911.61,0.56
15.0,flow0.3,-2787.49,3911.61,0.0
16.0,flow0.3,-2786.57,3911.61,0.92
19.0,flow0.4,-2787.49,3911.61,0.0
20.0,flow0.4,-2786.9,3911.61,0.59
24.0,flow0.5,-2787.49,3911.61,0.0
25.0,flow0.5,-2786.63,3911.61,0.86
28.0,flow0.6,-2787.49,3911.61,0.0
29.0,flow0.6,-2786.67,3911.61,0.82
32.0,flow0.7,-2787.49,3911.61,0.0
33.0,flow0.7,-2787.35,3911.61,0.14
34.0,flow0.7,-2786.45,3911.61,0.9
37.0,flow0.8,-2787.49,3911.61,0.0
38.0,flow0.8,-2787.09,3911.61,0.4
42.0,flow0.9,-2787.49,3911.61,0.0
43.0,flow0.9,-2786.78,3911.61,0.71
47.0,flow0.10,-2787.49,3911.61,0.0
48.0,flow0.10,-2786.66,3911.61,0.83
51.0,flow0.11,-2787.49,3911.61,0.0
52.0,flow0.11,-2786.99,3911.61,0.5
56.0,flow0.12,-2787.49,3911.61,0.0
57.0,flow0.12,-2786.55,3911.61,0.94
60.0,flow0.13,-2787.49,3911.61,0.0
61.0,flow0.13,-2786.77,3911.61,0.72
65.0,flow0.14,-2787.49,3911.61,0.0
66.0,flow0.14,-2786.59,3911.61,0.9
69.0,flow0.15,-2787.49,3911.61,0.0
70.0,flow0.15,-2786.91,3911.61,0.58
74.0,flow0.16,-2787.49,3911.61,0.0
75.0,flow0.16,-2786.66,3911.61,0.83
78.0,flow0.17,-2787.49,3911.61,0.0
79.0,flow0.17,-2787.4,3911.61,0.09
80.0,flow0.17,-2786.43,3911.61,0.97
83.0,flow0.18,-2787.49,3911.61,0.0
84.0,flow0.18,-2786.78,3911.61,0.71
87.0,flow0.19,-2787.49,3911.61,0.0
88.0,flow0.19,-2787.42,3911.61,0.07
89.0,flow0.19,-2786.8,3911.61,0.62
92.0,flow0.20,-2787.49,3911.61,0.0
93.0,flow0.20,-2787.19,3911.61,0.3
97.0,flow0.21,-2787.49,3911.61,0.0
98.0,flow0.21,-2786.75,3911.61,0.74
102.0,flow0.22,-2787.49,3911.61,0.0
103.0,flow0.22,-2786.61,3911.61,0.88
106.0,flow0.23,-2787.49,3911.61,0.0
107.0,flow0.23,-2787.09,3911.61,0.4
111.0,flow0.24,-2787.49,3911.61,0.0
112.0,flow0.24,-2786.88,3911.61,0.61
116.0,flow0.25,-2787.49,3911.61,0.0
117.0,flow0.25,-2786.58,3911.61,0.91
120.0,flow0.26,-2787.49,3911.61,0.0
121.0,flow0.26,-2786.95,3911.61,0.54
125.0,flow0.27,-2787.49,3911.61,0.0
126.0,flow0.27,-2786.73,3911.61,0.76
129.0,flow0.28,-2787.49,3911.61,0.0
130.0,flow0.28,-2787.28,3911.61,0.21
134.0,flow0.29,-2787.49,3911.61,0.0
135.0,flow0.29,-2786.83,3911.61,0.66
139.0,flow0.30,-2787.49,3911.61,0.0
140.0,flow0.30,-2786.57,3911.61,0.92
143.0,flow0.31,-2787.49,3911.61,0.0
144.0,flow0.31,-2786.87,3911.61,0.62
148.0,flow0.32,-2787.49,3911.61,0.0
149.0,flow0.32,-2786.62,3911.61,0.87
152.0,flow0.33,-2787.49,3911.61,0.0
153.0,flow0.33,-2787.1,3911.61,0.39
157.0,flow0.34,-2787.49,3911.61,0.0
158.0,flow0.34,-2786.69,3911.61,0.8
162.0,flow0.35,-2787.49,3911.61,0.0
163.0,flow0.35,-2786.86,3911.61,0.63
167.0,flow0.36,-2787.49,3911.61,0.0
168.0,flow0.36,-2786.89,3911.61,0.6
172.0,flow0.37,-2787.49,3911.61,0.0
173.0,flow0.37,-2786.82,3911.61,0.67
177.0,flow0.38,-2787.49,3911.61,0.0
178.0,flow0.38,-2786.65,3911.61,0.84
181.0,flow0.39,-2787.49,3911.61,0.0
182.0,flow0.39,-2786.85,3911.61,0.64
186.0,flow0.40,-2787.49,3911.61,0.0
187.0,flow0.40,-2786.62,3911.61,0.87
190.0,flow0.41,-2787.49,3911.61,0.0
191.0,flow0.41,-2787.29,3911.61,0.2
195.0,flow0.42,-2787.49,3911.61,0.0
196.0,flow0.42,-2786.98,3911.61,0.51
200.0,flow0.43,-2787.49,3911.61,0.0
201.0,flow0.43,-2786.73,3911.61,0.76
204.0,flow0.44,-2787.49,3911.61,0.0
205.0,flow0.44,-2787.35,3911.61,0.14
209.0,flow0.45,-2787.49,3911.61,0.0
210.0,flow0.45,-2786.79,3911.61,0.7
213.0,flow0.46,-2787.49,3911.61,0.0
214.0,flow0.46,-2787.2,3911.61,0.29
218.0,flow0.47,-2787.49,3911.61,0.0
219.0,flow0.47,-2786.75,3911.61,0.74
223.0,flow0.48,-2787.49,3911.61,0.0
224.0,flow0.48,-2786.63,3911.61,0.86
227.0,flow0.49,-2787.49,3911.61,0.0
228.0,flow0.49,-2787.38,3911.61,0.11
229.0,flow0.49,-2786.51,3911.61,0.87
