time,vehicle_id,x,y,speed
0.00,flow0.0,-2787.49,3911.61,0.00
1.00,flow0.0,-2786.94,3911.61,0.55
2.00,flow0.0,-2785.74,3911.61,1.20
3.00,flow0.0,-2783.56,3911.61,2.18
4.00,flow0.0,-2780.63,3911.61,2.93
5.00,flow0.0,-2777.00,3911.61,3.63
5.00,flow0.1,-2787.49,3911.61,0.00
6.00,flow0.0,-2772.38,3911.61,4.61
6.00,flow0.1,-2786.86,3911.61,0.63
7.00,flow0.0,-2766.89,3911.61,5.49
7.00,flow0.1,-2785.51,3911.61,1.36
8.00,flow0.0,-2760.78,3911.61,6.12
8.00,flow0.1,-2783.15,3911.61,2.35
9.00,flow0.0,-2754.00,3911.61,6.78
9.00,flow0.1,-2780.03,3911.61,3.12
10.00,flow0.0,-2746.44,3911.61,7.55
10.00,flow0.1,-2776.20,3911.61,3.84
10.00,flow0.2,-2787.49,3911.61,0.00
11.00,flow0.0,-2738.02,3911.61,8.42
11.00,flow0.1,-2771.39,3911.61,4.81
11.00,flow0.2,-2786.93,3911.61,0.56
12.00,flow0.0,-2728.76,3911.61,9.26
12.00,flow0.1,-2765.93,3911.61,5.46
12.00,flow0.2,-2785.39,3911.61,1.54
13.00,flow0.0,-2718.76,3911.61,10.00
13.00,flow0.1,-2759.62,3911.61,6.31
13.00,flow0.2,-2783.17,3911.61,2.22
14.00,flow0.0,-2708.22,3911.61,10.53
14.00,flow0.1,-2752.72,3911.61,6.90
14.00,flow0.2,-2780.39,3911.61,2.78
15.00,flow0.0,-2696.89,3911.61,11.34
15.00,flow0.1,-2745.09,3911.61,7.63
15.00,flow0.2,-2776.73,3911.61,3.66
15.00,flow0.3,-2787.49,3911.61,0.00
16.00,flow0.0,-2684.56,3911.61,12.32
16.00,flow0.1,-2736.61,3911.61,8.48
16.00,flow0.2,-2772.45,3911.61,4.28
16.00,flow0.3,-2786.57,3911.61,0.92
17.00,flow0.1,-2727.15,3911.61,9.46
17.00,flow0.2,-2767.51,3911.61,4.94
17.00,flow0.3,-2784.81,3911.61,1.75
18.00,flow0.1,-2716.76,3911.61,10.40
18.00,flow0.2,-2761.64,3911.61,5.87
18.00,flow0.3,-2782.27,3911.61,2.55
19.00,flow0.1,-2705.84,3911.61,10.91
