time,vehicle_id,x,y,speed,anomaly
0.0,flow0.0,-2787.49,3911.61,0.0,True
1.0,flow0.0,-2786.94,3911.61,0.55,True
2.0,flow0.0,-2785.74,3911.61,1.2,False
3.0,flow0.0,-2783.56,3911.61,2.18,False
4.0,flow0.0,-2780.63,3911.61,2.93,False
5.0,flow0.0,-2777.0,3911.61,3.63,False
5.0,flow0.1,-2787.49,3911.61,0.0,True
6.0,flow0.0,-2772.38,3911.61,4.61,False
6.0,flow0.1,-2786.86,3911.61,0.63,False
7.0,flow0.0,-2766.89,3911.61,5.49,False
7.0,flow0.1,-2785.51,3911.61,1.36,False
8.0,flow0.0,-2760.78,3911.61,6.12,False
8.0,flow0.1,-2783.15,3911.61,2.35,False
9.0,flow0.0,-2754.0,3911.61,6.78,False
9.0,flow0.1,-2780.03,3911.61,3.12,False
10.0,flow0.0,-2746.44,3911.61,7.55,False
10.0,flow0.1,-2776.2,3911.61,3.84,False
10.0,flow0.2,-2787.49,3911.61,0.0,True
11.0,flow0.0,-2738.02,3911.61,8.42,False
11.0,flow0.1,-2771.39,3911.61,4.81,False
11.0,flow0.2,-2786.93,3911.61,0.56,False
12.0,flow0.0,-2728.76,3911.61,9.26,False
12.0,flow0.1,-2765.93,3911.61,5.46,False
12.0,flow0.2,-2785.39,3911.61,1.54,False
13.0,flow0.0,-2718.76,3911.61,10.0,False
13.0,flow0.1,-2759.62,3911.61,6.31,False
13.0,flow0.2,-2783.17,3911.61,2.22,False
14.0,flow0.0,-2708.22,3911.61,10.53,False
14.0,flow0.1,-2752.72,3911.61,6.9,False
14.0,flow0.2,-2780.39,3911.61,2.78,False
15.0,flow0.0,-2696.89,3911.61,11.34,False
15.0,flow0.1,-2745.09,3911.61,7.63,False
15.0,flow0.2,-2776.73,3911.61,3.66,False
15.0,flow0.3,-2787.49,3911.61,0.0,True
16.0,flow0.0,-2684.56,3911.61,12.32,True
16.0,flow0.1,-2736.61,3911.61,8.48,False
16.0,flow0.2,-2772.45,3911.61,4.28,False
16.0,flow0.3,-2786.57,3911.61,0.92,False
17.0,flow0.1,-2727.15,3911.61,9.46,False
17.0,flow0.2,-2767.51,3911.61,4.94,False
17.0,flow0.3,-2784.81,3911.61,1.75,False
18.0,flow0.1,-2716.76,3911.61,10.4,False
18.0,flow0.2,-2761.64,3911.61,5.87,False
18.0,flow0.3,-2782.27,3911.61,2.55,False
19.0,flow0.1,-2705.84,3911.61,10.91,False
19.0,flow0.2,-2754.9,3911.61,6.74,False
19.0,flow0.3,-2778.83,3911.61,3.44,False
19.0,flow0.4,-2787.49,3911.61,0.0,True
20.0,flow0.1,-2694.01,3911.61,11.83,False
20.0,flow0.2,-2747.45,3911.61,7.45,False
20.0,flow0.3,-2774.51,3911.61,4.32,False
20.0,flow0.4,-2786.9,3911.61,0.59,False
21.0,flow0.2,-2739.33,3911.61,8.12,False
21.0,flow0.3,-2769.55,3911.61,4.96,False
21.0,flow0.4,-2785.6,3911.61,1.3,False
22.0,flow0.2,-2730.55,3911.61,8.78,False
22.0,flow0.3,-2764.06,3911.61,5.49,False
22.0,flow0.4,-2783.78,3911.61,1.82,False
23.0,flow0.2,-2720.93,3911.61,9.62,False
23.0,flow0.3,-2757.82,3911.61,6.25,False
23.0,flow0.4,-2781.26,3911.61,2.53,False
24.0,flow0.2,-2710.39,3911.61,10.54,False
24.0,flow0.3,-2751.05,3911.61,6.77,False
24.0,flow0.4,-2777.82,3911.61,3.43,False
24.0,flow0.5,-2787.49,3911.61,0.0,True
25.0,flow0.2,-2699.18,3911.61,11.22,False
25.0,flow0.3,-2743.36,3911.61,7.69,False
25.0,flow0.4,-2773.4,3911.61,4.42,False
25.0,flow0.5,-2786.63,3911.61,0.86,False
26.0,flow0.2,-2687.23,3911.61,11.94,False
26.0,flow0.3,-2735.13,3911.61,8.23,False
26.0,flow0.4,-2768.02,3911.61,5.39,False
26.0,flow0.5,-2784.86,3911.61,1.77,False
27.0,flow0.3,-2726.06,3911.61,9.07,False
27.0,flow0.4,-2761.8,3911.61,6.22,False
27.0,flow0.5,-2782.13,3911.61,2.73,False
28.0,flow0.3,-2716.27,3911.61,9.79,False
28.0,flow0.4,-2754.68,3911.61,7.11,False
28.0,flow0.5,-2778.49,3911.61,3.64,False
28.0,flow0.6,-2787.49,3911.61,0.0,True
29.0,flow0.3,-2705.51,3911.61,10.76,False
29.0,flow0.4,-2746.61,3911.61,8.07,False
29.0,flow0.5,-2774.22,3911.61,4.28,False
29.0,flow0.6,-2786.67,3911.61,0.82,False
30.0,flow0.3,-2693.89,3911.61,11.62,False
30.0,flow0.4,-2737.64,3911.61,8.97,False
30.0,flow0.5,-2769.28,3911.61,4.94,False
30.0,flow0.6,-2785.05,3911.61,1.61,False
31.0,flow0.4,-2727.87,3911.61,9.77,False
31.0,flow0.5,-2763.6,3911.61,5.68,False
31.0,flow0.6,-2782.85,3911.61,2.2,False
32.0,flow0.4,-2717.39,3911.61,10.48,False
32.0,flow0.5,-2757.12,3911.61,6.47,False
32.0,flow0.6,-2779.84,3911.61,3.02,False
32.0,flow0.7,-2787.49,3911.61,0.0,True
33.0,flow0.4,-2706.4,3911.61,10.99,False
33.0,flow0.5,-2749.66,3911.61,7.46,False
33.0,flow0.6,-2775.97,3911.61,3.87,False
33.0,flow0.7,-2787.35,3911.61,0.14,False
34.0,flow0.4,-2694.84,3911.61,11.55,False
34.0,flow0.5,-2741.52,3911.61,8.15,False
34.0,flow0.6,-2771.57,3911.61,4.4,False
34.0,flow0.7,-2786.45,3911.61,0.9,False
35.0,flow0.4,-2682.5,3911.61,12.34,False
35.0,flow0.5,-2732.72,3911.61,8.79,False
35.0,flow0.6,-2766.39,3911.61,5.18,False
35.0,flow0.7,-2784.99,3911.61,1.46,False
36.0,flow0.5,-2723.42,3911.61,9.31,False
36.0,flow0.6,-2760.36,3911.61,6.03,False
36.0,flow0.7,-2782.73,3911.61,2.26,False
37.0,flow0.5,-2713.28,3911.61,10.14,False
37.0,flow0.6,-2753.69,3911.61,6.68,False
37.0,flow0.7,-2779.53,3911.61,3.2,False
37.0,flow0.8,-2787.49,3911.61,0.0,True
38.0,flow0.5,-2702.38,3911.61,10.9,False
38.0,flow0.6,-2746.34,3911.61,7.35,False
38.0,flow0.7,-2775.71,3911.61,3.81,False
38.0,flow0.8,-2787.09,3911.61,0.4,False
39.0,flow0.5,-2691.19,3911.61,11.19,True
39.0,flow0.6,-2738.06,3911.61,8.28,False
39.0,flow0.7,-2771.25,3911.61,4.46,False
39.0,flow0.8,-2785.76,3911.61,1.33,False
40.0,flow0.6,-2728.96,3911.61,9.1,False
40.0,flow0.7,-2766.04,3911.61,5.22,False
40.0,flow0.8,-2783.46,3911.61,2.31,False
41.0,flow0.6,-2719.05,3911.61,9.9,False
41.0,flow0.7,-2760.16,3911.61,5.88,False
41.0,flow0.8,-2780.64,3911.61,2.82,False
42.0,flow0.6,-2708.57,3911.61,10.48,False
42.0,flow0.7,-2753.35,3911.61,6.8,False
42.0,flow0.8,-2777.28,3911.61,3.36,False
42.0,flow0.9,-2787.49,3911.61,0.0,True
43.0,flow0.6,-2697.27,3911.61,11.31,False
43.0,flow0.7,-2745.88,3911.61,7.47,False
43.0,flow0.8,-2773.13,3911.61,4.15,False
43.0,flow0.9,-2786.78,3911.61,0.71,False
44.0,flow0.6,-2685.1,3911.61,12.17,False
44.0,flow0.7,-2737.6,3911.61,8.28,False
44.0,flow0.8,-2768.32,3911.61,4.81,False
44.0,flow0.9,-2785.38,3911.61,1.41,False
45.0,flow0.7,-2728.37,3911.61,9.23,False
45.0,flow0.8,-2762.94,3911.61,5.38,False
45.0,flow0.9,-2783.29,3911.61,2.09,False
46.0,flow0.7,-2718.55,3911.61,9.82,False
46.0,flow0.8,-2757.03,3911.61,5.91,False
46.0,flow0.9,-2780.47,3911.61,2.81,False
47.0,flow0.10,-2787.49,3911.61,0.0,True
47.0,flow0.7,-2707.74,3911.61,10.81,False
47.0,flow0.8,-2750.61,3911.61,6.42,False
47.0,flow0.9,-2777.1,3911.61,3.37,False
48.0,flow0.10,-2786.66,3911.61,0.83,False
48.0,flow0.7,-2696.17,3911.61,11.57,False
48.0,flow0.8,-2743.65,3911.61,6.97,False
48.0,flow0.9,-2772.82,3911.61,4.29,False
49.0,flow0.10,-2784.84,3911.61,1.83,False
49.0,flow0.7,-2684.26,3911.61,11.91,True
49.0,flow0.8,-2735.92,3911.61,7.73,False
49.0,flow0.9,-2767.7,3911.61,5.12,False
50.0,flow0.10,-2782.25,3911.61,2.58,False
50.0,flow0.8,-2727.64,3911.61,8.27,False
50.0,flow0.9,-2761.59,3911.61,6.11,False
51.0,flow0.10,-2778.73,3911.61,3.53,False
51.0,flow0.11,-2787.49,3911.61,0.0,False
51.0,flow0.8,-2718.83,3911.61,8.82,False
51.0,flow0.9,-2754.68,3911.61,6.91,False
52.0,flow0.10,-2774.4,3911.61,4.33,False
52.0,flow0.11,-2786.99,3911.61,0.5,False
52.0,flow0.8,-2709.44,3911.61,9.39,False
52.0,flow0.9,-2747.19,3911.61,7.5,False
53.0,flow0.10,-2769.46,3911.61,4.94,False
53.0,flow0.11,-2785.72,3911.61,1.27,False
53.0,flow0.8,-2699.29,3911.61,10.15,True
53.0,flow0.9,-2739.16,3911.61,8.03,False
54.0,flow0.10,-2763.63,3911.61,5.83,False
54.0,flow0.11,-2783.52,3911.61,2.19,False
54.0,flow0.8,-2688.56,3911.61,10.73,True
54.0,flow0.9,-2730.3,3911.61,8.86,False
55.0,flow0.10,-2757.15,3911.61,6.47,False
55.0,flow0.11,-2780.55,3911.61,2.97,False
55.0,flow0.9,-2720.6,3911.61,9.7,False
56.0,flow0.10,-2750.08,3911.61,7.07,False
56.0,flow0.11,-2776.66,3911.61,3.89,False
56.0,flow0.12,-2787.49,3911.61,0.0,False
56.0,flow0.9,-2710.08,3911.61,10.52,False
57.0,flow0.10,-2742.08,3911.61,8.01,False
57.0,flow0.11,-2772.16,3911.61,4.5,False
57.0,flow0.12,-2786.55,3911.61,0.94,False
57.0,flow0.9,-2698.86,3911.61,11.23,False
58.0,flow0.10,-2733.18,3911.61,8.89,False
58.0,flow0.11,-2766.78,3911.61,5.38,False
58.0,flow0.12,-2784.7,3911.61,1.84,False
58.0,flow0.9,-2687.0,3911.61,11.85,False
59.0,flow0.10,-2723.45,3911.61,9.73,False
59.0,flow0.11,-2760.52,3911.61,6.26,False
59.0,flow0.12,-2782.28,3911.61,2.42,False
60.0,flow0.10,-2712.95,3911.61,10.5,False
60.0,flow0.11,-2753.36,3911.61,7.16,False
60.0,flow0.12,-2778.98,3911.61,3.3,False
60.0,flow0.13,-2787.49,3911.61,0.0,False
61.0,flow0.10,-2701.92,3911.61,11.03,False
61.0,flow0.11,-2745.3,3911.61,8.05,False
61.0,flow0.12,-2775.14,3911.61,3.84,False
61.0,flow0.13,-2786.77,3911.61,0.72,False
62.0,flow0.10,-2690.29,3911.61,11.63,False
62.0,flow0.11,-2736.45,3911.61,8.85,False
62.0,flow0.12,-2770.34,3911.61,4.8,False
62.0,flow0.13,-2785.34,3911.61,1.43,False
63.0,flow0.11,-2726.98,3911.61,9.48,False
63.0,flow0.12,-2764.91,3911.61,5.43,False
63.0,flow0.13,-2783.25,3911.61,2.1,False
64.0,flow0.11,-2716.56,3911.61,10.42,False
64.0,flow0.12,-2758.71,3911.61,6.2,False
64.0,flow0.13,-2780.15,3911.61,3.09,False
65.0,flow0.11,-2705.44,3911.61,11.12,False
65.0,flow0.12,-2751.55,3911.61,7.16,False
65.0,flow0.13,-2776.27,3911.61,3.88,False
65.0,flow0.14,-2787.49,3911.61,0.0,False
66.0,flow0.11,-2693.71,3911.61,11.73,False
66.0,flow0.12,-2743.77,3911.61,7.79,False
66.0,flow0.13,-2771.7,3911.61,4.58,False
66.0,flow0.14,-2786.59,3911.61,0.9,False
67.0,flow0.12,-2735.17,3911.61,8.59,False
67.0,flow0.13,-2766.17,3911.61,5.52,False
67.0,flow0.14,-2784.94,3911.61,1.64,False
68.0,flow0.12,-2725.59,3911.61,9.59,False
68.0,flow0.13,-2759.94,3911.61,6.23,False
68.0,flow0.14,-2782.42,3911.61,2.53,False
69.0,flow0.12,-2715.28,3911.61,10.31,False
69.0,flow0.13,-2753.18,3911.61,6.76,False
69.0,flow0.14,-2779.35,3911.61,3.07,False
69.0,flow0.15,-2787.49,3911.61,0.0,False
70.0,flow0.12,-2704.07,3911.61,11.2,False
70.0,flow0.13,-2745.88,3911.61,7.3,False
70.0,flow0.14,-2775.39,3911.61,3.96,False
